,Остаток на начало месяца
,
,
"Антипан. PHA 2501 арт.446230101 (серый) рычаг д/сплош,",6
Антипаника PHA 2501 арт.230104 (нержав.) ( рычаги),2
Антипаника PHA 2560 VB арт 6223304,2
Антипаника PHA 2570 VB арт 6240304,2
Броненакладка Protector Pro 50/27 золото,1
Броненакладка врезная для цилиндра Securemme 25мм мат.хром,0
Вставка для цил.накл. Апекс DP-C-BLM черный,0
Глазок APECS 3016/70-110-G-золото,1
Глазок дв. Аверс 2216/75-135-черный,42
Глазок дверной Apecs 1516/70-130-BLM квадратная,1
Глазок дверной ARMADILLO DY/PRO 3/100-60/Z мат.ник,0
Глазок дверной ARMADILLO DY/PRO 3/100-60/В хром,0
Глазок п/пожарная дверная лат.хром FP,1
Глазок дверной п/пож.АВЕРС 4014/45-75-хром,0
Девиатор Гардиан100,1
Доводчик дверной Vanger DC-85-SL ( серебро),18
Доводчик Notedo DC025-095 (серебро),24
Доводчик Notedo DC045-155 (белый),8
Доводчик Notedo DC055 IN+HO (серебро),4
Доводчик дверной NOTEDO DC-080 cеребро,60
Доводчик дверной NOTEDO DC-080 черный,49
Доводчик дверной NOTEDO DC-088 CAMMODE серебро,0
"Доводчик дверной NOTEDO DC-150 легкий характер, серебро",4
Доводчик ASSA ABLOI DC-140,1
Доводчик ASSA Abloy DC-500,22
Доводчик ASSA ABLOY DC-840,2
Доводчик ASSA ABLOI ДС-860,2
Доводчик Dormakaba Silver P600 TS MATCH,13
"Доводчик ТS93 В ВС+DC EN 2-5,RAL9005",4
"Доводчик ТS93 В В EN 2-5,серый арт.043020001",1
Доводчик TS90 Impulse серый арт.010200401,87
Доводчик TS90 Impulse черный,40
Ев/цилиндр с вертушкой Dorma CBF-1 80 (40*40)-никель,3
Ев/цилиндр Dorma CBF-1 80 (35*45)-никель,22
Ев/цилиндр Dorma CBР-1 100 (45*55)-никель,60
ЕD 100 привод распашной двери арт.29222311,2
"ЕD базовая крышка ,серая арт.29241001",2
ЕD VARIO крышка 2200мм серая арт.29242001,1
ED Стандартная тяга 225 мм арт.29271021,2
Завертка NL Black,4
Заглушка квад.80*80 внутрен. Плоская белая эконом,30
Заглушка под противосьем Ф24 черный,400
Заглушка под противосьем Ф25 Т черный,180
Заглушка для труб квадрат. 60*60мм,0
Заглушка для автопорогов МИНИ,0
Задвижка врезная Apecs L 0260 хром,2
Замок Apecs 5300Р-NIS,30
Замок межкомн. Apecs 5300-WC-NI,35
Замок 170/WC 78/55/8/8 F =20скр+отв.планка под фиксатор,33
Замок 170/WZ 72/55/8/8 F =20скр,81
Замок Geqe 170 PZ 72/55/8 F под цилиндр,300
Замок Geqe ERGO PZ 72/55/8 F под цилиндр с пластиковым язычком,500
Замок врезной Apecs 30-R-CR,2
Замок Гардиан 20.01 Т,1
Замок Гардиан 20.02 никель,2
Замок Гардиан 22.12 Т,1
Замок Гардиан 25.12 под цилиндр (без упаковки),1
Замок Гардиан 100.11Т,1
Замок Гардиан 102.11Т без цил.,0
"Замок Гардиан 3001 б/накл врезной,сувальдный короткий 4ключа",1
Замок Гардиан 3201 б/накл под цилиндр,3
Замок Гардиан 32.11 п/мех под ручку,18
